lex,sent,Labels
0,822,85
congressman,822,26
0,822,85
0,822,85
0,822,85
Reid,823,85
0,823,85
congressman,823,26
0,823,85
lowest,823,85
congressman,823,26
Newfoundland,824,85
wage,824,26
increase,824,85
0,824,85
to,824,85
10,824,85
0,825,85
0,825,85
efficiency,825,85
0,825,85
0,825,85
0,825,85
0,826,85
0,826,85
point,826,85
0,826,85
of,826,85
Senate,826,26
0,827,85
0,827,85
point,827,85
0,827,85
low,827,85
point,827,85
0,828,85
0,828,85
point,828,85
0,828,85
0,828,85
0,828,85
rate,829,26
0,829,85
reduce,829,85
0,829,85
to,829,85
%,829,85
0,830,85
hunger,830,26
boosting,830,85
0,830,85
around,830,85
world,830,85
Democracy,831,27
0,831,85
appear,831,85
0,831,85
in,831,85
Greece,831,85
Poverty,832,27
this,832,85
demonstrates,832,85
0,832,85
0,832,85
0,832,85
0,833,85
0,833,85
Evidence,833,85
0,833,85
of,833,85
Rates,833,27
0,834,85
0,834,85
capacity,834,85
0,834,85
0,834,85
0,834,85
government,835,27
0,835,85
hiding,835,85
0,835,85
0,835,85
0,835,85
0,836,85
0,836,85
government,836,85
0,836,85
local,836,85
government,836,85
0,837,85
0,837,85
Perceptions,837,85
0,837,85
of,837,85
poverty,837,27
firearm,838,27
rate,838,85
lower,838,85
0,838,85
criminal,838,85
lower,838,85
firearm,839,27
rate,839,85
lower,839,85
0,839,85
0,839,85
0,839,85
0,840,85
0,840,85
more,840,85
0,840,85
0,840,85
0,840,85
0,841,85
0,841,85
more,841,85
0,841,85
of,841,85
government,841,27
democracy,842,27
0,842,85
recognizes,842,85
0,842,85
0,842,85
0,842,85
0,843,85
0,843,85
become,843,85
0,843,85
to,843,85
market,843,85
poverty,844,27
fall,844,85
shown,844,85
0,844,85
in,844,85
year,844,85
poverty,845,27
fall,845,85
shown,845,85
0,845,85
0,845,85
0,845,85
election,846,27
0,846,85
way,846,85
0,846,85
0,846,85
0,846,85
0,847,85
0,847,85
vision,847,85
0,847,85
0,847,85
0,847,85
control,848,27
time,848,85
demonstrates,848,85
pressure,848,85
0,848,85
0,848,85
Panama,849,85
poverty,849,27
see,849,85
0,849,85
0,849,85
0,849,85
0,850,85
0,850,85
Evidence,850,85
0,850,85
on,850,85
Accuracy,850,85
0,851,85
0,851,85
Evidence,851,85
0,851,85
Empirical,851,85
Evidence,851,85
0,852,85
0,852,85
view,852,85
0,852,85
of,852,85
USAID,852,27
0,853,85
0,853,85
perception,853,85
0,853,85
0,853,85
0,853,85
0,854,85
0,854,85
capacity,854,85
0,854,85
poverty,854,27
capacity,854,85
government,855,27
0,855,85
understand,855,85
0,855,85
0,855,85
0,855,85
0,856,85
0,856,85
showcase,856,85
0,856,85
for,856,85
democracy,856,27
0,857,85
0,857,85
point,857,85
0,857,85
control,857,27
point,857,85
0,858,85
0,858,85
Evidence,858,85
0,858,85
of,858,85
Perceptions,858,85
She,859,85
control,859,27
see,859,85
0,859,85
to,859,85
problem,859,85
Government,860,27
0,860,85
recognised,860,85
0,860,85
0,860,85
0,860,85
They,861,85
government,861,27
saw,861,85
0,861,85
a,861,85
instrumentality,861,85
They,862,85
government,862,27
saw,862,85
0,862,85
0,862,85
0,862,85
0,863,85
0,863,85
vision,863,85
0,863,85
of,863,85
wealth,863,27
table,864,85
exemption,864,27
show,864,85
0,864,85
0,864,85
0,864,85
0,865,85
0,865,85
become,865,85
0,865,85
0,865,85
0,865,85
0,866,85
0,866,85
View,866,85
0,866,85
of,866,85
Taxation,866,27
They,867,85
government,867,27
saw,867,85
0,867,85
on,867,85
force,867,85
it,868,85
people,868,85
incarcerating,868,85
0,868,85
0,868,85
0,868,85
control,869,27
0,869,85
identify,869,85
0,869,85
0,869,85
0,869,85
attitude,870,85
Governments,870,27
induced,870,85
0,870,85
0,870,85
0,870,85
manipulation,871,85
taxpayer,871,27
blind,871,85
0,871,85
0,871,85
0,871,85
0,872,85
0,872,85
visibility,872,85
0,872,85
0,872,85
0,872,85
0,873,85
0,873,85
development,873,85
0,873,85
government,873,27
development,873,85
0,874,85
0,874,85
visibility,874,85
0,874,85
of,874,85
taxation,874,27
0,875,85
0,875,85
View,875,85
0,875,85
0,875,85
0,875,85
needle,876,85
mass,876,27
identify,876,85
0,876,85
a,876,85
adenosis,876,85
0,877,85
Democracy,877,27
Recognise,877,85
0,877,85
0,877,85
0,877,85
taxation,878,27
obstacle,878,85
present,878,85
0,878,85
to,878,85
use,878,85
0,879,85
0,879,85
development,879,85
0,879,85
0,879,85
0,879,85
boomsticklovers,880,85
view,880,85
defended,880,85
0,880,85
0,880,85
0,880,85
government,881,27
0,881,85
hiding,881,85
0,881,85
right,881,85
hiding,881,85
0,882,85
0,882,85
perception,882,85
0,882,85
0,882,85
0,882,85
government,883,27
0,883,85
hiding,883,85
0,883,85
on,883,85
what,883,85
0,884,85
0,884,85
perception,884,85
0,884,85
of,884,85
gun,884,27
election,885,27
what,885,85
shown,885,85
0,885,85
0,885,85
0,885,85
0,886,85
0,886,85
elsewhere,886,85
0,886,85
in,886,85
East,886,85
0,887,85
0,887,85
elsewhere,887,85
0,887,85
in,887,85
Kuwait,887,85
Democracy,888,27
0,888,85
appear,888,85
0,888,85
0,888,85
0,888,85
0,889,85
0,889,85
falseness,889,85
0,889,85
0,889,85
0,889,85
Panama,890,85
poverty,890,27
see,890,85
0,890,85
Like,890,85
country,890,85
Government,891,27
0,891,85
recognised,891,85
0,891,85
In,891,85
1977,891,85
Taxes,892,27
0,892,85
dream,892,85
0,892,85
liberal,892,85
dream,892,85
lawsuit,893,27
injustice,893,85
expose,893,85
0,893,85
0,893,85
0,893,85
Americans,894,85
tax,894,27
seeing,894,85
0,894,85
0,894,85
0,894,85
0,895,85
0,895,85
Center,895,85
0,895,85
to,895,85
Election,895,27
0,896,85
0,896,85
development,896,85
0,896,85
economic,896,85
development,896,85
it,897,85
0,897,85
sign,897,85
0,897,85
0,897,85
0,897,85
0,898,85
hunger,898,27
examine,898,85
0,898,85
0,898,85
0,898,85
who,899,85
government,899,27
saw,899,85
0,899,85
a,899,85
institution,899,85
Americans,900,85
tax,900,27
seeing,900,85
0,900,85
As,900,85
result,900,85
it,901,85
0,901,85
sign,901,85
0,901,85
low,901,85
sign,901,85
0,902,85
0,902,85
perspective,902,85
0,902,85
voter,902,27
perspective,902,85
0,903,85
0,903,85
flavor,903,85
0,903,85
of,903,85
democracy,903,27
0,904,85
0,904,85
flavor,904,85
0,904,85
various,904,85
flavor,904,85
0,905,85
0,905,85
showcase,905,85
0,905,85
0,905,85
0,905,85
we,906,85
tax,906,27
saw,906,85
0,906,85
Under,906,85
Pataki,906,85
0,907,85
0,907,85
perspective,907,85
0,907,85
0,907,85
0,907,85
0,908,85
poverty,908,27
seeing,908,85
0,908,85
0,908,85
0,908,85
0,909,85
0,909,85
elsewhere,909,85
0,909,85
0,909,85
0,909,85
0,910,85
0,910,85
Evidence,910,85
0,910,85
0,910,85
0,910,85
She,911,85
control,911,27
see,911,85
0,911,85
0,911,85
0,911,85
it,912,85
people,912,85
incarcerating,912,85
0,912,85
by,912,85
taxation,912,27
0,913,85
0,913,85
development,913,85
0,913,85
uneven,913,85
development,913,85
taxation,914,27
obstacle,914,85
present,914,85
0,914,85
throughout,914,85
city,914,85
we,915,85
tax,915,27
saw,915,85
0,915,85
0,915,85
0,915,85
0,916,85
0,916,85
development,916,85
0,916,85
bad,916,85
development,916,85
0,917,85
0,917,85
falseness,917,85
0,917,85
of,917,85
election,917,27
manipulation,918,85
taxpayer,918,27
blind,918,85
0,918,85
to,918,85
inappropriateness,918,85
0,919,85
0,919,85
Center,919,85
0,919,85
10th,919,85
Center,919,85
0,920,85
democracy,920,27
see,920,85
0,920,85
a,920,85
tool,920,85
table,921,85
exemption,921,27
show,921,85
0,921,85
by,921,85
exemption,921,85
0,922,85
0,922,85
point,922,85
0,922,85
0,922,85
0,922,85
Panama,923,85
poverty,923,27
see,923,85
0,923,85
obvious,923,85
see,923,85
it,924,85
people,924,85
incarcerating,924,85
0,924,85
from,924,85
government,924,85
0,925,85
0,925,85
flavor,925,85
0,925,85
0,925,85
0,925,85
boomsticklovers,926,85
view,926,85
defended,926,85
0,926,85
of,926,85
gun,926,27
0,927,85
0,927,85
view,927,85
0,927,85
0,927,85
0,927,85
Americans,928,85
tax,928,27
seeing,928,85
0,928,85
-RSB-,928,85
seeing,928,85
0,929,85
owner,929,27
showing,929,85
0,929,85
0,929,85
0,929,85
0,930,85
0,930,85
vision,930,85
0,930,85
0,930,85
0,930,85
0,931,85
0,931,85
vision,931,85
0,931,85
of,931,85
government,931,27
legislation,932,27
0,932,85
appear,932,85
0,932,85
0,932,85
0,932,85
0,933,85
0,933,85
Center,933,85
0,933,85
for,933,85
Center,933,85
Taxes,934,27
0,934,85
dream,934,85
0,934,85
wet,934,85
dream,934,85
0,935,85
0,935,85
distribution,935,85
0,935,85
uneven,935,85
distribution,935,85
0,936,85
bureaucracy,936,28
refine,936,85
0,936,85
at,936,85
national,936,85
who,937,85
wealth,937,28
spreading,937,85
0,937,85
0,937,85
0,937,85
0,938,85
government,938,28
dilute,938,85
0,938,85
into,938,85
nothingness,938,85
0,939,85
0,939,85
exploitation,939,85
0,939,85
0,939,85
0,939,85
event,940,85
0,940,85
pan,940,85
0,940,85
after,940,85
election,940,28
0,941,85
0,941,85
capacity,941,85
0,941,85
government,941,28
capacity,941,85
money,942,28
price,942,85
dilutes,942,85
0,942,85
0,942,85
0,942,85
0,943,85
0,943,85
mass,943,85
0,943,85
great,943,85
mass,943,85
0,944,85
0,944,85
mass,944,85
0,944,85
of,944,85
voter,944,28
0,945,85
0,945,85
imposition,945,85
0,945,85
0,945,85
0,945,85
0,946,85
0,946,85
growth,946,85
0,946,85
national,946,28
growth,946,85
0,947,85
0,947,85
growth,947,85
0,947,85
0,947,85
0,947,85
0,948,85
0,948,85
capacity,948,85
0,948,85
0,948,85
0,948,85
0,949,85
0,949,85
exploitation,949,85
0,949,85
of,949,85
bureaucracy,949,28
0,950,85
0,950,85
lack,950,85
0,950,85
of,950,85
control,950,28
0,951,85
0,951,85
Lots,951,85
0,951,85
of,951,85
control,951,28
0,952,85
0,952,85
exploitation,952,85
0,952,85
feminist,952,85
exploitation,952,85
0,953,85
0,953,85
piece,953,85
0,953,85
collection,953,28
piece,953,85
0,954,85
0,954,85
share,954,85
0,954,85
0,954,85
0,954,85
0,955,85
0,955,85
expansion,955,85
0,955,85
of,955,85
democracy,955,28
0,956,85
0,956,85
substance,956,85
0,956,85
0,956,85
0,956,85
0,957,85
0,957,85
overestimation,957,85
0,957,85
of,957,85
poverty,957,28
0,958,85
0,958,85
substance,958,85
0,958,85
of,958,85
democracy,958,28
task,959,85
0,959,85
form,959,85
0,959,85
0,959,85
0,959,85
Empire,960,85
debt,960,28
amassed,960,85
0,960,85
happy,960,85
amassed,960,85
0,961,85
0,961,85
piece,961,85
0,961,85
0,961,85
0,961,85
0,962,85
0,962,85
development,962,85
0,962,85
0,962,85
0,962,85
0,963,85
0,963,85
getting,963,85
0,963,85
tax,963,28
getting,963,85
We,964,85
conversation,964,85
focused,964,85
0,964,85
on,964,85
poverty,964,28
0,965,85
0,965,85
size,965,85
0,965,85
0,965,85
0,965,85
0,966,85
democracy,966,28
transfer,966,85
0,966,85
0,966,85
0,966,85
He,967,85
wealth,967,28
use,967,85
0,967,85
0,967,85
0,967,85
0,968,85
democracy,968,28
transfer,968,85
0,968,85
throughout,968,85
East,968,85
they,969,85
government,969,28
supported,969,85
0,969,85
0,969,85
0,969,85
0,970,85
0,970,85
production,970,85
0,970,85
wealth,970,28
production,970,85
0,971,85
0,971,85
series,971,85
0,971,85
of,971,85
primary,971,28
0,972,85
0,972,85
rate,972,85
0,972,85
0,972,85
0,972,85
system,973,85
0,973,85
based,973,85
0,973,85
on,973,85
rule,973,28
he,974,85
Constitution,974,28
consign,974,85
0,974,85
0,974,85
0,974,85
system,975,85
0,975,85
based,975,85
0,975,85
0,975,85
0,975,85
0,976,85
0,976,85
size,976,85
0,976,85
of,976,85
government,976,28
control,977,28
0,977,85
waste,977,85
0,977,85
of,977,85
time,977,85
control,978,28
0,978,85
waste,978,85
0,978,85
0,978,85
0,978,85
We,979,85
conversation,979,85
focused,979,85
0,979,85
0,979,85
0,979,85
0,980,85
0,980,85
Sources,980,85
0,980,85
of,980,85
Guns,980,28
0,981,85
0,981,85
Sources,981,85
0,981,85
0,981,85
0,981,85
Empire,982,85
debt,982,28
amassed,982,85
0,982,85
In,982,85
case,982,85
0,983,85
0,983,85
capacity,983,85
0,983,85
regulatory,983,85
capacity,983,85
control,984,28
time,984,85
waste,984,85
0,984,85
true,984,85
waste,984,85
control,985,28
time,985,85
waste,985,85
0,985,85
0,985,85
0,985,85
wealth,986,28
0,986,85
pinched,986,85
0,986,85
with,986,85
poverty,986,85
0,987,85
0,987,85
supply,987,85
0,987,85
0,987,85
0,987,85
income,988,28
0,988,85
grow,988,85
0,988,85
0,988,85
0,988,85
Citizens,989,85
0,989,85
material,989,85
0,989,85
raw,989,85
material,989,85
Citizens,990,85
0,990,85
material,990,85
0,990,85
0,990,85
0,990,85
0,991,85
0,991,85
Lots,991,85
0,991,85
0,991,85
0,991,85
we,992,85
freedom,992,28
gained,992,85
0,992,85
0,992,85
0,992,85
we,993,85
freedom,993,28
gained,993,85
0,993,85
in,993,85
1994,993,85
0,994,85
0,994,85
gift,994,85
0,994,85
of,994,85
democracy,994,28
wealth,995,28
0,995,85
pinched,995,85
0,995,85
0,995,85
0,995,85
0,996,85
volume,996,85
vaulting,996,85
0,996,85
0,996,85
0,996,85
0,997,85
bureaucracy,997,28
refine,997,85
0,997,85
national,997,85
refine,997,85
0,998,85
bureaucracy,998,28
refine,998,85
0,998,85
0,998,85
0,998,85
event,999,85
0,999,85
pan,999,85
0,999,85
0,999,85
0,999,85
0,1000,85
0,1000,85
distribution,1000,85
0,1000,85
of,1000,85
wealth,1000,28
0,1001,85
0,1001,85
series,1001,85
0,1001,85
0,1001,85
0,1001,85
0,1002,85
0,1002,85
capacity,1002,85
0,1002,85
0,1002,85
0,1002,85
0,1003,85
0,1003,85
production,1003,85
0,1003,85
0,1003,85
0,1003,85
gun,1004,28
0,1004,85
substance,1004,85
0,1004,85
0,1004,85
0,1004,85
government,1005,28
0,1005,85
received,1005,85
0,1005,85
0,1005,85
0,1005,85
government,1006,28
0,1006,85
received,1006,85
0,1006,85
from,1006,85
party,1006,85
We,1007,85
conversation,1007,85
focused,1007,85
0,1007,85
on,1007,85
people,1007,85
0,1008,85
0,1008,85
gift,1008,85
0,1008,85
0,1008,85
0,1008,85
0,1009,85
0,1009,85
distribution,1009,85
0,1009,85
0,1009,85
0,1009,85
0,1010,85
0,1010,85
proportion,1010,85
0,1010,85
of,1010,85
tax,1010,28
who,1011,85
election,1011,28
deliver,1011,85
0,1011,85
after,1011,85
election,1011,85
0,1012,85
0,1012,85
lack,1012,85
0,1012,85
0,1012,85
0,1012,85
0,1013,85
0,1013,85
rate,1013,85
0,1013,85
poverty,1013,28
rate,1013,85
0,1014,85
0,1014,85
share,1014,85
0,1014,85
by,1014,85
labour,1014,85
0,1015,85
0,1015,85
share,1015,85
0,1015,85
in,1015,85
opulence,1015,28
0,1016,85
0,1016,85
imposition,1016,85
0,1016,85
of,1016,85
tax,1016,28
0,1017,85
0,1017,85
mass,1017,85
0,1017,85
0,1017,85
0,1017,85
0,1018,85
0,1018,85
getting,1018,85
0,1018,85
0,1018,85
0,1018,85
0,1019,85
0,1019,85
capacity,1019,85
0,1019,85
government,1019,28
capacity,1019,85
0,1020,85
0,1020,85
supply,1020,85
0,1020,85
of,1020,85
service,1020,28
0,1021,85
0,1021,85
Redistribution,1021,85
0,1021,85
to,1021,85
country,1021,85
0,1022,85
0,1022,85
Redistribution,1022,85
0,1022,85
of,1022,85
wealth,1022,28
0,1023,85
0,1023,85
myriad,1023,85
0,1023,85
of,1023,85
law,1023,28
0,1024,85
0,1024,85
Redistribution,1024,85
0,1024,85
0,1024,85
0,1024,85
0,1025,85
wealth,1025,28
dispersing,1025,85
0,1025,85
0,1025,85
0,1025,85
he,1026,85
Constitution,1026,28
consign,1026,85
0,1026,85
to,1026,85
heap,1026,85
0,1027,85
0,1027,85
concentration,1027,85
0,1027,85
0,1027,85
0,1027,85
gun,1028,28
0,1028,85
substance,1028,85
0,1028,85
of,1028,85
power,1028,85
0,1029,85
0,1029,85
quite,1029,85
0,1029,85
of,1029,85
homelessness,1029,28
Empire,1030,85
debt,1030,28
amassed,1030,85
0,1030,85
0,1030,85
0,1030,85
tax,1031,28
0,1031,85
is,1031,85
0,1031,85
0,1031,85
0,1031,85
0,1032,85
0,1032,85
quite,1032,85
0,1032,85
0,1032,85
0,1032,85
it,1033,85
poverty,1033,28
delivered,1033,85
0,1033,85
0,1033,85
0,1033,85
who,1034,85
election,1034,28
deliver,1034,85
0,1034,85
0,1034,85
0,1034,85
0,1035,85
0,1035,85
dimension,1035,85
0,1035,85
following,1035,85
dimension,1035,85
0,1036,85
0,1036,85
dimension,1036,85
0,1036,85
0,1036,85
0,1036,85
0,1037,85
0,1037,85
measure,1037,85
0,1037,85
overall,1037,85
measure,1037,85
0,1038,85
0,1038,85
size,1038,85
0,1038,85
0,1038,85
0,1038,85
0,1039,85
0,1039,85
measure,1039,85
0,1039,85
of,1039,85
tax,1039,29
0,1040,85
0,1040,85
measure,1040,85
0,1040,85
of,1040,85
inequality,1040,29
0,1041,85
0,1041,85
measurement,1041,85
0,1041,85
0,1041,85
0,1041,85
0,1042,85
0,1042,85
measure,1042,85
0,1042,85
0,1042,85
0,1042,85
0,1043,85
0,1043,85
measurement,1043,85
0,1043,85
poverty,1043,29
measurement,1043,85
0,1044,85
0,1044,85
size,1044,85
0,1044,85
's,1044,85
government,1044,29
0,1045,85
tax,1045,29
avoid,1045,85
0,1045,85
0,1045,85
0,1045,85
0,1046,85
0,1046,85
measure,1046,85
0,1046,85
comparative,1046,85
measure,1046,85
0,1047,85
0,1047,85
measure,1047,85
0,1047,85
inequality,1047,29
measure,1047,85
0,1048,85
0,1048,85
measurement,1048,85
0,1048,85
from,1048,85
perspective,1048,85
0,1049,85
0,1049,85
measurement,1049,85
0,1049,85
0,1049,85
0,1049,85
0,1050,85
0,1050,85
measurement,1050,85
0,1050,85
income,1050,29
measurement,1050,85
0,1051,85
0,1051,85
measure,1051,85
0,1051,85
0,1051,85
0,1051,85
0,1052,85
0,1052,85
measure,1052,85
0,1052,85
0,1052,85
0,1052,85
0,1053,85
0,1053,85
twilight,1053,85
0,1053,85
0,1053,85
0,1053,85
0,1054,85
0,1054,85
groping,1054,85
0,1054,85
in,1054,85
poverty,1054,30
0,1055,85
0,1055,85
Enlightenment,1055,85
0,1055,85
first,1055,85
Enlightenment,1055,85
0,1056,85
0,1056,85
Enlightenment,1056,85
0,1056,85
poverty,1056,30
Enlightenment,1056,85
0,1057,85
0,1057,85
gloom,1057,85
0,1057,85
0,1057,85
0,1057,85
0,1058,85
0,1058,85
shadow,1058,85
0,1058,85
over,1058,85
election,1058,30
0,1059,85
0,1059,85
overshadow,1059,85
0,1059,85
administrator,1059,30
overshadow,1059,85
0,1060,85
0,1060,85
groping,1060,85
0,1060,85
0,1060,85
0,1060,85
0,1061,85
0,1061,85
-RSB-,1061,85
0,1061,85
0,1061,85
0,1061,85
0,1062,85
0,1062,85
twilight,1062,85
0,1062,85
of,1062,85
government,1062,30
0,1063,85
0,1063,85
overshadow,1063,85
0,1063,85
0,1063,85
0,1063,85
0,1064,85
0,1064,85
gloom,1064,85
0,1064,85
government,1064,30
gloom,1064,85
0,1065,85
0,1065,85
overshadow,1065,85
0,1065,85
few,1065,85
overshadow,1065,85
0,1066,85
0,1066,85
-RSB-,1066,85
0,1066,85
collection,1066,30
-RSB-,1066,85
themselves,1067,85
0,1067,85
persecuted,1067,85
0,1067,85
0,1067,85
0,1067,85
All,1068,85
0,1068,85
avenue,1068,85
0,1068,85
0,1068,85
0,1068,85
All,1069,85
0,1069,85
avenue,1069,85
0,1069,85
of,1069,85
gun,1069,31
0,1070,85
0,1070,85
lead,1070,85
0,1070,85
0,1070,85
0,1070,85
0,1071,85
0,1071,85
lead,1071,85
0,1071,85
fewer,1071,85
lead,1071,85
0,1072,85
0,1072,85
road,1072,85
0,1072,85
to,1072,85
bureaucracy,1072,31
0,1073,85
0,1073,85
lead,1073,85
0,1073,85
gun,1073,31
lead,1073,85
0,1074,85
0,1074,85
twist,1074,85
0,1074,85
bureaucracy,1074,31
twist,1074,85
0,1075,85
0,1075,85
road,1075,85
0,1075,85
to,1075,85
democracy,1075,31
0,1076,85
0,1076,85
twist,1076,85
0,1076,85
thru,1076,85
bloc,1076,85
Poverty,1077,31
0,1077,85
lead,1077,85
0,1077,85
to,1077,85
problem,1077,85
0,1078,85
0,1078,85
road,1078,85
0,1078,85
of,1078,85
taxation,1078,31
0,1079,85
0,1079,85
leading,1079,85
0,1079,85
to,1079,85
election,1079,31
Poverty,1080,31
0,1080,85
lead,1080,85
0,1080,85
0,1080,85
0,1080,85
that,1081,85
0,1081,85
lead,1081,85
0,1081,85
self-government,1081,31
lead,1081,85
that,1082,85
0,1082,85
lead,1082,85
0,1082,85
to,1082,85
self-government,1082,31
0,1083,85
0,1083,85
road,1083,85
0,1083,85
0,1083,85
0,1083,85
0,1084,85
0,1084,85
road,1084,85
0,1084,85
open,1084,85
road,1084,85
decision,1085,85
0,1085,85
path,1085,85
0,1085,85
of,1085,85
tax,1085,31
0,1086,85
0,1086,85
road,1086,85
0,1086,85
to,1086,85
wealth,1086,31
0,1087,85
0,1087,85
road,1087,85
0,1087,85
0,1087,85
0,1087,85
0,1088,85
0,1088,85
bridge,1088,85
0,1088,85
of,1088,85
right,1088,31
0,1089,85
0,1089,85
bridge,1089,85
0,1089,85
0,1089,85
0,1089,85
she,1090,85
road,1090,85
take,1090,85
0,1090,85
0,1090,85
0,1090,85
decision,1091,85
0,1091,85
path,1091,85
0,1091,85
0,1091,85
0,1091,85
decision,1092,85
0,1092,85
path,1092,85
0,1092,85
in,1092,85
which,1092,85
she,1093,85
road,1093,85
take,1093,85
0,1093,85
to,1093,85
tax,1093,31
0,1094,85
0,1094,85
road,1094,85
0,1094,85
short,1094,85
road,1094,85
0,1095,85
0,1095,85
road,1095,85
0,1095,85
0,1095,85
0,1095,85
0,1096,85
0,1096,85
trail,1096,85
0,1096,85
election,1096,31
trail,1096,85
0,1097,85
0,1097,85
vulnerability,1097,85
0,1097,85
equal,1097,85
vulnerability,1097,85
Christian,1098,85
0,1098,85
lived,1098,85
0,1098,85
under,1098,85
government,1098,32
0,1099,85
dependency,1099,85
forcing,1099,85
0,1099,85
0,1099,85
0,1099,85
gun,1100,32
role,1100,85
weaken,1100,85
0,1100,85
0,1100,85
0,1100,85
0,1101,85
0,1101,85
vulnerability,1101,85
0,1101,85
0,1101,85
0,1101,85
0,1102,85
dependency,1102,85
forcing,1102,85
0,1102,85
on,1102,85
democracy,1102,32
Democracy,1103,32
0,1103,85
falter,1103,85
0,1103,85
because,1103,85
tendency,1103,85
0,1104,85
0,1104,85
lose,1104,85
0,1104,85
from,1104,85
regulation,1104,32
Democracy,1105,32
0,1105,85
falter,1105,85
0,1105,85
0,1105,85
0,1105,85
0,1106,85
0,1106,85
weakness,1106,85
0,1106,85
0,1106,85
0,1106,85
0,1107,85
0,1107,85
instability,1107,85
0,1107,85
0,1107,85
0,1107,85
Democracy,1108,32
0,1108,85
falter,1108,85
0,1108,85
worst,1108,85
falter,1108,85
CAR,1109,85
0,1109,85
government,1109,32
0,1109,85
0,1109,85
0,1109,85
Christian,1110,85
0,1110,85
lived,1110,85
0,1110,85
until,1110,85
1970s,1110,85
0,1111,85
0,1111,85
weakness,1111,85
0,1111,85
of,1111,85
government,1111,32
0,1112,85
0,1112,85
lose,1112,85
0,1112,85
0,1112,85
0,1112,85
CAR,1113,85
0,1113,85
government,1113,32
0,1113,85
interim,1113,85
government,1113,32
CAR,1114,85
0,1114,85
government,1114,32
0,1114,85
weak,1114,85
government,1114,32
0,1115,85
0,1115,85
corrupts,1115,85
0,1115,85
government,1115,33
corrupts,1115,85
0,1116,85
0,1116,85
cesspool,1116,85
0,1116,85
0,1116,85
0,1116,85
0,1117,85
0,1117,85
cesspool,1117,85
0,1117,85
control,1117,33
cesspool,1117,85
0,1118,85
0,1118,85
corruption,1118,85
0,1118,85
of,1118,85
democracy,1118,33
0,1119,85
0,1119,85
waste,1119,85
0,1119,85
0,1119,85
0,1119,85
0,1120,85
0,1120,85
legislation,1120,85
0,1120,85
',1120,85
Elections,1120,33
0,1121,85
0,1121,85
turd,1121,85
0,1121,85
gun,1121,33
turd,1121,85
0,1122,85
0,1122,85
corruption,1122,85
0,1122,85
0,1122,85
0,1122,85
0,1123,85
0,1123,85
waste,1123,85
0,1123,85
bureaucratic,1123,33
waste,1123,85
Senate,1124,33
0,1124,85
poison,1124,85
0,1124,85
0,1124,85
0,1124,85
0,1125,85
0,1125,85
Assembly,1125,85
0,1125,85
0,1125,85
0,1125,85
who,1126,85
0,1126,85
benefitted,1126,85
0,1126,85
0,1126,85
0,1126,85
who,1127,85
0,1127,85
benefitted,1127,85
0,1127,85
from,1127,85
taxation,1127,33
0,1128,85
0,1128,85
turd,1128,85
0,1128,85
anti,1128,85
turd,1128,85
0,1129,85
0,1129,85
corrupts,1129,85
0,1129,85
absolute,1129,85
corrupts,1129,85
Minnesota,1130,85
system,1130,33
ha,1130,85
0,1130,85
0,1130,85
0,1130,85
0,1131,85
0,1131,85
corrupts,1131,85
0,1131,85
0,1131,85
0,1131,85
0,1132,85
0,1132,85
Poisoning,1132,85
0,1132,85
of,1132,85
Democracy,1132,33
0,1133,85
0,1133,85
Poisoning,1133,85
0,1133,85
0,1133,85
0,1133,85
0,1134,85
0,1134,85
cesspool,1134,85
0,1134,85
of,1134,85
belief,1134,85
0,1135,85
0,1135,85
Assembly,1135,85
0,1135,85
of,1135,85
government,1135,33
Regulation,1136,34
Fiber,1136,85
hinder,1136,85
0,1136,85
to,1136,85
Home,1136,85
bureaucracy,1137,34
activity,1137,85
obstructs,1137,85
0,1137,85
0,1137,85
0,1137,85
0,1138,85
0,1138,85
backdrop,1138,85
0,1138,85
Behind,1138,85
detail,1138,85
We,1139,85
control,1139,34
have,1139,85
0,1139,85
0,1139,85
0,1139,85
it,1140,85
0,1140,85
reason,1140,85
0,1140,85
good,1140,85
reason,1140,85
0,1141,85
0,1141,85
backdrop,1141,85
0,1141,85
0,1141,85
0,1141,85
Control,1142,34
0,1142,85
distraction,1142,85
0,1142,85
0,1142,85
0,1142,85
Control,1143,34
0,1143,85
distraction,1143,85
0,1143,85
from,1143,85
issue,1143,85
0,1144,85
0,1144,85
backdrop,1144,85
0,1144,85
of,1144,85
poverty,1144,34
These,1145,85
0,1145,85
barrier,1145,85
0,1145,85
0,1145,85
0,1145,85
it,1146,85
0,1146,85
reason,1146,85
0,1146,85
0,1146,85
0,1146,85
college,1147,34
purpose,1147,85
obstructs,1147,85
0,1147,85
in,1147,85
democracy,1147,85
0,1148,85
0,1148,85
obstacle,1148,85
0,1148,85
of,1148,85
poverty,1148,34
0,1149,85
0,1149,85
impediment,1149,85
0,1149,85
0,1149,85
0,1149,85
0,1150,85
0,1150,85
obstacle,1150,85
0,1150,85
0,1150,85
0,1150,85
tax,1151,34
decision-making,1151,85
obstruct,1151,85
0,1151,85
0,1151,85
0,1151,85
it,1152,85
0,1152,85
reason,1152,85
0,1152,85
to,1152,85
control,1152,34
0,1153,85
tariff,1153,34
Erecting,1153,85
0,1153,85
0,1153,85
0,1153,85
Regulation,1154,34
Fiber,1154,85
hinder,1154,85
0,1154,85
0,1154,85
